run_index,carrier_frequency_hz,symbol_time_seconds,symbol_rate_baud,samples_per_symbol,compared_bits,bit_errors,ber,decision_threshold,zero_level,one_level,timing_offset_samples,preamble_score,preamble_start_sample
1,8000.00000000,0.020000000,50.00000000,960,256,0,0.000000000,0.000925054,0.000042640,0.001807469,-39,0.599306363,38892
2,8000.00000000,0.012000000,83.33333333,576,256,0,0.000000000,0.000633217,0.000078981,0.001187454,37,0.561189808,311530
3,8000.00000000,0.008000000,125.00000000,384,256,0,0.000000000,0.000788773,0.000143961,0.001433586,37,0.555631186,479727
4,8000.00000000,0.005000000,200.00000000,240,256,0,0.000000000,0.000826850,0.000186477,0.001467223,19,0.521110966,595696
5,8000.00000000,0.003000000,333.33333333,144,256,0,0.000000000,0.000893633,0.000256279,0.001530988,8,0.565702676,672493
6,8000.00000000,0.002000000,500.00000000,96,256,0,0.000000000,0.000896737,0.000363408,0.001430066,0,0.518412314,723181
7,8000.00000000,0.001500000,666.66666667,72,256,0,0.000000000,0.000974445,0.000471620,0.001477271,0,0.582392325,760814
8,8000.00000000,0.001000000,1000.00000000,48,256,0,0.000000000,0.000967511,0.000471008,0.001464014,1,0.589237192,791918
9,8000.00000000,0.000750000,1333.33333333,36,256,0,0.000000000,0.000955364,0.000367122,0.001543607,1,0.566459430,816494
10,8000.00000000,0.000500000,2000.00000000,24,256,0,0.000000000,0.000993833,0.000102157,0.001885508,2,0.531817624,837806
11,8000.00000000,0.000104167,9600.00000000,5,256,86,0.335937500,0.000910533,0.000774776,0.001046290,-2,0.540311056,855855
