frequency_hz,mean_response_db,response_standard_deviation_db,mean_chirp_level_dbfs,chirp_level_standard_deviation_db,mean_noise_level_dbfs,noise_level_standard_deviation_db,mean_snr_db,response_1_db,response_2_db,response_3_db,response_4_db,response_5_db,response_6_db,response_7_db,response_8_db,chirp_level_1_dbfs,chirp_level_2_dbfs,chirp_level_3_dbfs,chirp_level_4_dbfs,chirp_level_5_dbfs,chirp_level_6_dbfs,chirp_level_7_dbfs,chirp_level_8_dbfs,noise_level_1_dbfs,noise_level_2_dbfs,noise_level_3_dbfs,noise_level_4_dbfs,noise_level_5_dbfs,noise_level_6_dbfs,noise_level_7_dbfs,noise_level_8_dbfs
500.00000000,-30.39582182,5.56434702,-104.44236299,5.56434702,-98.65266360,3.57256086,-5.78969938,-20.34715608,-29.65005716,-28.51628706,-31.43833359,-38.30861079,-28.59130848,-29.31936884,-36.99545257,-94.39369724,-103.69659833,-102.56282822,-105.48487476,-112.35515195,-102.63784965,-103.36591001,-111.04199373,-92.37792865,-96.46153089,-102.61172964,-100.18948103,-101.47272697,-101.31233447,-95.28154951,-99.51402764
543.08617234,-30.39582182,5.56434702,-104.44236299,5.56434702,-98.77076849,2.69324486,-5.67159449,-20.34715608,-29.65005716,-28.51628706,-31.43833359,-38.30861079,-28.59130848,-29.31936884,-36.99545257,-94.39369724,-103.69659833,-102.56282822,-105.48487476,-112.35515195,-102.63784965,-103.36591001,-111.04199373,-94.62539526,-95.91874252,-102.03679853,-98.59998637,-101.28779597,-100.23567636,-96.95941944,-100.50233351
586.17234469,-30.39582182,5.56434702,-104.44236299,5.56434702,-101.14171648,1.82157029,-3.30064651,-20.34715608,-29.65005716,-28.51628706,-31.43833359,-38.30861079,-28.59130848,-29.31936884,-36.99545257,-94.39369724,-103.69659833,-102.56282822,-105.48487476,-112.35515195,-102.63784965,-103.36591001,-111.04199373,-98.25852918,-98.42231356,-102.26405805,-100.96225978,-101.78935479,-102.17791231,-103.02081044,-102.23849371
629.25851703,-30.39582182,5.56434702,-104.44236299,5.56434702,-101.52506582,1.66145970,-2.91729716,-20.34715608,-29.65005716,-28.51628706,-31.43833359,-38.30861079,-28.59130848,-29.31936884,-36.99545257,-94.39369724,-103.69659833,-102.56282822,-105.48487476,-112.35515195,-102.63784965,-103.36591001,-111.04199373,-99.87720203,-98.93040180,-102.32509487,-100.33485659,-102.16000232,-103.10071943,-103.73602504,-101.73622451
672.34468938,-30.39582182,5.56434702,-104.44236299,5.56434702,-102.86808318,0.98043454,-1.57427981,-20.34715608,-29.65005716,-28.51628706,-31.43833359,-38.30861079,-28.59130848,-29.31936884,-36.99545257,-94.39369724,-103.69659833,-102.56282822,-105.48487476,-112.35515195,-102.63784965,-103.36591001,-111.04199373,-101.79032161,-104.63741098,-102.95380391,-101.42354460,-103.34875460,-102.92626933,-103.15584162,-102.70871877
715.43086172,-30.39582182,5.56434702,-104.44236299,5.56434702,-103.73025880,1.47537550,-0.71210418,-20.34715608,-29.65005716,-28.51628706,-31.43833359,-38.30861079,-28.59130848,-29.31936884,-36.99545257,-94.39369724,-103.69659833,-102.56282822,-105.48487476,-112.35515195,-102.63784965,-103.36591001,-111.04199373,-100.59516515,-104.20216103,-104.06436394,-102.55750771,-104.45329479,-104.95554495,-104.99067059,-104.02336224
758.51703407,-33.31216321,3.91142403,-105.52417014,3.91142403,-103.56055977,1.43796762,-1.96361037,-27.58113278,-34.14571954,-29.38127496,-34.17092561,-39.69634440,-31.92370478,-32.53434736,-37.06385627,-99.79313970,-106.35772647,-101.59328189,-106.38293253,-111.90835132,-104.13571170,-104.74635429,-109.27586319,-100.84839083,-103.13463867,-104.46443308,-102.36129359,-104.11036888,-104.15406660,-105.54373269,-103.86755381
801.60320641,-37.61778535,3.32018145,-107.12132636,3.32018145,-102.57287065,1.31376122,-4.54845572,-38.26121649,-40.78301636,-30.65832404,-38.20526422,-41.74516371,-36.84358121,-37.28087077,-37.16484599,-107.76475750,-110.28655738,-100.16186505,-107.70880524,-111.24870472,-106.34712222,-106.78441178,-106.66838701,-101.11601732,-101.54497351,-102.09940247,-101.69407267,-103.17827278,-102.82669820,-105.29500780,-102.82852043
844.68937876,-41.86813974,5.33323264,-108.67602398,5.33323264,-103.07270378,2.37987807,-5.60332021,-48.69584558,-47.32423071,-31.96995400,-42.21462092,-43.80133805,-41.70474182,-41.93295392,-37.30143291,-115.50372983,-114.13211496,-98.77783825,-109.02250516,-110.60922229,-108.51262607,-108.74083816,-104.10931715,-99.43737282,-100.09253663,-103.67454539,-102.17730101,-104.76330862,-104.22909846,-106.50733483,-103.70013246
887.77555110,-42.71952804,4.01361592,-107.61951724,4.01361592,-104.55751510,1.96272544,-3.06200214,-44.03501597,-47.95637328,-35.40830918,-44.68759006,-46.30984685,-42.95488003,-40.77696149,-39.62724747,-108.93500517,-112.85636247,-100.30829838,-109.58757926,-111.20983604,-107.85486923,-105.67695068,-104.52723667,-101.43043788,-101.73007915,-105.31853587,-104.53325894,-106.44644456,-105.07197265,-106.60510765,-105.32428408
930.86172345,-43.57091634,4.21138220,-106.56301049,4.21138220,-105.44681543,1.42446356,-1.11619507,-39.37418637,-48.58851584,-38.84666436,-47.16055920,-48.81835565,-44.20501824,-39.62096906,-41.95306203,-102.36628052,-111.58060999,-101.83875851,-110.15265335,-111.81044980,-107.19711239,-102.61306321,-104.94515618,-103.42772792,-103.60963701,-104.78687679,-105.31176833,-105.80043779,-106.80090409,-106.97841393,-106.85875756
973.94789579,-44.84844790,4.41487908,-106.08739320,4.41487908,-106.35547886,1.86288250,0.26808566,-38.10779846,-49.50836648,-41.97918050,-48.28700922,-50.71741809,-44.99733599,-41.07707881,-44.11339562,-99.34674377,-110.74731178,-103.21812581,-109.52595453,-111.95636340,-106.23628129,-102.31602412,-105.35234093,-103.65695583,-104.68507366,-104.64229485,-106.10745717,-107.55002728,-107.26411362,-108.33219753,-108.60571093
1017.03406814,-46.90136792,3.00013334,-106.66873267,3.00013334,-106.95436758,2.13834512,0.28563491,-43.01776314,-50.95171602,-44.55520756,-46.96340189,-51.50756310,-44.95662701,-47.28603614,-45.97262850,-102.78512789,-110.71908076,-104.32257230,-106.73076663,-111.27492785,-104.72399176,-107.05340089,-105.73999325,-104.12763688,-105.28267674,-104.84393846,-106.02237503,-107.95508367,-109.23451340,-109.64379681,-108.52491963
1060.12024048,-48.95428794,3.30728426,-107.25007213,3.30728426,-107.24616217,1.55979551,-0.00390996,-47.92772782,-52.39506556,-47.13123461,-45.63979455,-52.29770811,-44.91591804,-53.49499348,-47.83186138,-106.22351200,-110.69084975,-105.42701880,-103.93557873,-110.59349230,-103.21170222,-111.79077766,-106.12764557,-104.95915985,-105.77156705,-106.58145893,-106.35172496,-107.63238213,-108.63660792,-108.91488643,-109.12151006
1103.20641283,-50.91101912,2.55839881,-107.92614989,2.55839881,-107.79343796,0.83768659,-0.13271193,-48.92499723,-51.42037133,-50.23911089,-47.86485405,-54.20842166,-48.95518190,-55.04689230,-50.62832362,-105.94012800,-108.43550209,-107.25424166,-104.87998482,-111.22355243,-105.97031266,-112.06202306,-107.64345439,-106.54417875,-107.00126826,-107.42618466,-107.33233794,-108.02870648,-108.60820046,-108.67661408,-108.73001306
